Requisition_ID,Job_Family,Job_Role,Job_Band,Experience_Required_Years,City,Interview_Panel_Availability,Total_Interview_Rounds,Assessment_Included,Candidate_Source,Notice_Period_Days,Job_Posted_Date,Hire_Date,Time to hire
HT0056,Sales,Sales Manager,Band_6,13,Osaka,4,3,No,LinkedIn,90,2024-06-07,2024-06-30,23
HT0057,Sales,Sales Manager,Band_2,3,Beijing,3,2,Yes,Referral,90,2024-04-02,2024-04-21,19
HT0058,Sales,Account Executive,Band_5,20,Osaka,2,2,No,Referral,90,2025-02-25,2025-03-14,17
HT0059,Operations,Operations Analyst,Band_2,3,Shenzhen,2,2,Yes,Consultant,30,2024-10-21,2024-11-13,23
HT0060,Sales,Sales Manager,Band_5,19,Osaka,4,2,No,Naukri,90,2025-01-02,2025-01-23,21
HT0061,Sales,Account Executive,Band_5,10,Tokyo,2,1,No,Referral,90,2024-09-13,2024-10-07,24
HT0062,HR,HR Analyst,Band_2,4,Hyderabad,1,1,Yes,Naukri,90,2024-05-15,2024-06-08,24
HT0063,Operations,Operations Analyst,Band_2,9,Nagoya,2,2,Yes,LinkedIn,60,2024-01-15,2024-02-06,22
HT0064,Sales,Account Executive,Band_6,12,Bangalore,2,3,No,Naukri,90,2025-04-20,2025-05-11,21
HT0065,HR,Recruiter,Band_6,14,Tokyo,3,1,No,Referral,90,2026-01-30,2026-02-27,28
HT0066,HR,Recruiter,Band_2,9,Hyderabad,2,3,Yes,Other,30,2025-01-06,2025-01-28,22
HT0067,Technology,Backend Developer,Band_2,8,Tokyo,3,1,Yes,Naukri,60,2024-05-08,2024-05-28,20
HT0068,Sales,Account Executive,Band_6,16,Beijing,4,3,No,LinkedIn,90,2024-01-27,2024-02-15,19
HT0069,HR,Recruiter,Band_3,17,Tokyo,1,2,Yes,Consultant,90,2025-06-09,2025-06-29,20
HT0070,Technology,Backend Developer,Band_6,19,Bangalore,3,2,No,Other,90,2025-03-30,2025-04-17,18
HT0071,Technology,ML Engineer,Band_1,4,Beijing,1,2,No,Consultant,30,2025-11-01,2025-11-22,21
HT0072,Operations,Supply Chain Lead,Band_2,2,Beijing,5,2,Yes,LinkedIn,90,2025-12-04,2025-12-19,15
HT0073,Operations,Supply Chain Lead,Band_6,17,Nagoya,3,3,No,Referral,90,2024-02-22,2024-03-14,21
HT0074,Operations,Operations Analyst,Band_2,9,Chennai,3,2,Yes,Referral,30,2025-07-28,2025-08-25,28
HT0075,Sales,Account Executive,Band_5,17,Bangalore,3,1,No,Referral,90,2025-11-04,2025-11-26,22
HT0072,Operations,Operations Analyst,Band_1,4,Shanghai,2,3,No,LinkedIn,30,2024-02-08,2024-02-28,20
HT0077,HR,HR Analyst,Band_3,8,Beijing,3,1,Yes,Naukri,60,2025-11-25,2025-12-23,28
HT0078,Operations,Supply Chain Lead,Band_1,3,Nagoya,1,2,No,LinkedIn,90,2024-01-08,2024-01-29,21
HT0079,Technology,Backend Developer,Band_5,13,Beijing,4,3,No,Referral,90,2025-03-15,2025-04-10,26
HT0080,HR,HR Analyst,Band_2,3,Shenzhen,1,3,Yes,LinkedIn,60,2025-03-22,2025-04-15,24
HT0081,Operations,Supply Chain Lead,Band_6,20,Bangalore,4,2,No,Other,90,2025-10-22,2025-11-08,17
HT0082,Operations,Supply Chain Lead,Band_2,2,Shenzhen,4,1,Yes,LinkedIn,60,2025-03-26,2025-04-17,22
HT0083,Operations,Operations Analyst,Band_6,12,Nagoya,4,3,No,Naukri,90,2024-04-02,2024-04-28,26
HT0084,HR,HR Analyst,Band_3,15,Chennai,3,2,Yes,Consultant,60,2026-01-01,2026-01-21,20
HT0085,Technology,ML Engineer,Band_6,19,Shanghai,2,2,No,Referral,90,2024-12-08,2024-12-31,23
HT0086,Sales,Account Executive,Band_3,17,Nagoya,1,2,Yes,Referral,60,2025-07-26,2025-08-19,24
HT0087,Sales,Sales Manager,Band_2,5,Chennai,2,3,Yes,Consultant,60,2024-07-15,2024-08-01,17
HT0088,Sales,Account Executive,Band_6,18,Nagoya,4,1,No,Other,90,2025-10-01,2025-10-21,20
HT0089,Operations,Supply Chain Lead,Band_2,1,Shenzhen,2,2,Yes,LinkedIn,90,2025-01-11,2025-02-04,24
HT0090,Operations,Operations Analyst,Band_6,15,Shenzhen,3,1,No,Consultant,90,2025-06-12,2025-06-30,18
HT0091,HR,Recruiter,Band_2,3,Chennai,4,3,Yes,Naukri,90,2025-01-30,2025-02-17,18
HT0092,HR,HR Analyst,Band_1,4,Nagoya,1,1,No,Naukri,90,2024-01-20,2024-02-12,23
HT0093,HR,HR Analyst,Band_1,5,Tokyo,3,1,No,Other,90,2025-05-26,2025-06-21,26
HT0094,Sales,Account Executive,Band_5,13,Tokyo,3,2,No,LinkedIn,90,2025-01-04,2025-01-30,26
HT0095,Technology,Backend Developer,Band_2,2,Bangalore,4,3,Yes,Consultant,60,2026-01-20,2026-02-11,22
HT0096,Sales,Account Executive,Band_6,10,Hyderabad,2,2,No,Referral,90,2025-04-13,2025-04-30,17
HT0097,Operations,Supply Chain Lead,Band_1,4,Beijing,1,3,No,Consultant,30,2025-01-11,2025-02-04,24
HT0098,HR,HR Analyst,Band_5,15,Shanghai,3,2,No,LinkedIn,90,2024-10-27,2024-11-17,21
HT0099,HR,Recruiter,Band_6,11,Tokyo,1,1,No,Referral,90,2024-02-28,2024-03-24,25
HT0100,HR,HR Analyst,Band_5,15,Chennai,3,1,No,LinkedIn,90,2024-06-06,2024-06-30,24
HT0101,Sales,Sales Manager,Band_5,20,Beijing,2,1,No,Consultant,90,2025-01-31,2025-02-23,23
HT0102,HR,HR Analyst,Band_6,10,Osaka,2,1,No,Naukri,90,2024-11-23,2024-12-17,24
HT0103,Sales,Sales Manager,Band_1,3,Chennai,4,3,No,Consultant,90,2025-01-04,2025-01-30,26
HT0104,Technology,Data Engineer,Band_3,18,Beijing,1,1,Yes,Other,60,2025-10-19,2025-11-12,24
HT0105,Operations,Operations Analyst,Band_2,7,Hyderabad,5,3,Yes,LinkedIn,60,2024-11-26,2024-12-18,22
HT0106,Sales,Account Executive,Band_6,12,Bangalore,4,3,No,LinkedIn,90,2025-10-01,2025-10-24,23
HT0107,Operations,Supply Chain Lead,Band_2,6,Tokyo,2,2,Yes,Other,60,2024-09-07,2024-09-28,21
HT0108,Operations,Supply Chain Lead,Band_6,18,Hyderabad,2,1,No,LinkedIn,90,2024-12-19,2025-01-11,23
HT0109,Operations,Supply Chain Lead,Band_5,16,Beijing,4,1,No,LinkedIn,90,2025-03-04,2025-03-27,23
HT0110,HR,HR Analyst,Band_2,4,Nagoya,2,2,Yes,Referral,90,2025-08-20,2025-09-08,19
HT0111,Operations,Operations Analyst,Band_2,5,Beijing,5,1,Yes,Naukri,30,2024-02-22,2024-03-18,25
HT0112,HR,Recruiter,Band_3,2,Shenzhen,3,2,Yes,Other,90,2025-07-25,2025-08-16,22
HT0113,Sales,Account Executive,Band_3,11,Shenzhen,3,2,Yes,LinkedIn,90,2025-09-19,2025-10-13,24
HT0114,Operations,Operations Analyst,Band_5,16,Chennai,2,1,No,Other,90,2025-04-30,2025-05-26,26
HT0115,Sales,Account Executive,Band_2,3,Shenzhen,5,1,Yes,Other,60,2024-11-17,2024-12-07,20
HT0116,HR,Recruiter,Band_3,9,Nagoya,5,2,Yes,Naukri,60,2024-06-26,2024-07-20,24
HT0117,Operations,Operations Analyst,Band_6,10,Osaka,2,2,No,LinkedIn,90,2025-12-22,2026-01-14,23
HT0118,Technology,Backend Developer,Band_2,9,Shenzhen,5,1,Yes,Naukri,30,2025-11-02,2025-11-24,22
HT0119,Sales,Account Executive,Band_1,1,Tokyo,4,3,No,Naukri,60,2024-04-12,2024-05-02,20
HT0120,Operations,Supply Chain Lead,Band_6,16,Tokyo,4,1,No,Referral,90,2024-03-01,2024-03-26,25
HT0121,Technology,Backend Developer,Band_5,16,Nagoya,1,2,No,Naukri,90,2025-09-09,2025-10-02,23
HT0122,Operations,Operations Analyst,Band_1,4,Chennai,1,1,No,Naukri,90,2026-01-24,2026-02-15,22
HT0123,Operations,Operations Analyst,Band_1,3,Shenzhen,2,1,No,LinkedIn,90,2024-09-24,2024-10-14,20
HT0124,Operations,Operations Analyst,Band_2,3,Shanghai,2,2,Yes,Other,60,2025-12-03,2025-12-28,25
HT0125,HR,Recruiter,Band_5,17,Osaka,1,3,No,Other,90,2025-11-11,2025-11-30,19
HT0126,Sales,Account Executive,Band_3,3,Osaka,5,2,Yes,Consultant,30,2025-06-16,2025-07-08,22
HT0127,HR,Recruiter,Band_6,12,Tokyo,5,1,No,LinkedIn,90,2024-01-23,2024-02-12,20
HT0128,Technology,Backend Developer,Band_2,3,Shanghai,5,2,Yes,Other,60,2024-07-03,2024-07-25,22
HT0129,Sales,Account Executive,Band_1,5,Bangalore,1,1,No,Consultant,30,2024-11-01,2024-11-22,21
HT0130,Sales,Account Executive,Band_1,3,Tokyo,5,1,No,LinkedIn,60,2024-04-13,2024-05-07,24
HT0131,Operations,Operations Analyst,Band_6,15,Hyderabad,1,3,No,Other,90,2025-08-12,2025-09-06,25
HT0132,HR,Recruiter,Band_1,5,Shanghai,4,1,No,Naukri,60,2024-12-18,2025-01-14,27
HT0133,Sales,Sales Manager,Band_1,4,Beijing,4,2,No,LinkedIn,60,2025-07-29,2025-08-21,23
HT0134,Technology,Backend Developer,Band_2,5,Nagoya,3,1,Yes,Naukri,60,2025-11-20,2025-12-11,21
HT0135,Technology,ML Engineer,Band_2,3,Chennai,3,2,Yes,Referral,60,2024-09-05,2024-09-30,25
HT0132,HR,Recruiter,Band_1,3,Beijing,5,3,No,Other,90,2022-01-09,2022-01-29,20
HT0137,Operations,Operations Analyst,Band_2,3,Nagoya,4,2,Yes,Naukri,60,2024-12-03,2024-12-25,22
HT0138,Sales,Account Executive,Band_6,13,Tokyo,2,1,No,Naukri,90,2025-07-13,2025-08-02,20
HT0139,Sales,Sales Manager,Band_3,18,Bangalore,3,3,Yes,Referral,30,2024-03-02,2024-03-28,26
HT0140,HR,HR Analyst,Band_1,3,Osaka,4,2,No,Other,60,2024-04-08,2024-04-29,21
HT0141,Sales,Sales Manager,Band_6,16,Shenzhen,1,2,No,Consultant,90,2024-03-23,2024-04-12,20
HT0142,Technology,ML Engineer,Band_1,4,Chennai,2,3,No,Naukri,90,2024-08-23,2024-09-12,20
HT0143,Technology,Backend Developer,Band_2,5,Shanghai,4,1,Yes,LinkedIn,60,2025-07-31,2025-08-25,25
HT0144,HR,Recruiter,Band_1,4,Osaka,3,1,No,LinkedIn,30,2025-10-11,2025-11-01,21
HT0145,Operations,Operations Analyst,Band_2,3,Beijing,3,1,Yes,Naukri,30,2025-12-29,2026-01-20,22
HT0146,Sales,Sales Manager,Band_2,5,Hyderabad,3,2,Yes,Consultant,30,2025-07-24,2025-08-14,21
HT0147,Sales,Account Executive,Band_6,13,Beijing,3,2,No,LinkedIn,90,2025-01-24,2025-02-12,19
HT0148,Operations,Operations Analyst,Band_6,10,Bangalore,4,2,No,Consultant,90,2025-10-02,2025-10-26,24
HT0149,HR,HR Analyst,Band_3,10,Shanghai,3,2,Yes,Referral,30,2024-11-24,2024-12-14,20
HT0150,Sales,Account Executive,Band_6,13,Shenzhen,3,1,No,Referral,90,2025-07-17,2025-08-08,22
HT0151,HR,Recruiter,Band_1,4,Nagoya,5,3,No,LinkedIn,30,2025-04-04,2025-04-30,26
HT0152,Sales,Sales Manager,Band_2,3,Osaka,3,1,Yes,Other,60,2025-10-24,2025-11-18,25
HT0153,HR,Recruiter,Band_2,4,Beijing,1,3,Yes,Naukri,60,2025-04-19,2025-05-14,25
HT0154,Operations,Supply Chain Lead,Band_2,1,Shenzhen,1,1,Yes,Referral,30,2024-07-30,2024-08-20,21
HT0155,Sales,Account Executive,Band_5,13,Beijing,4,2,No,LinkedIn,90,2024-06-27,2024-07-20,23
HT0156,HR,Recruiter,Band_2,4,Chennai,4,1,Yes,Referral,90,2024-01-05,2024-01-28,23
HT0157,Operations,Supply Chain Lead,Band_5,10,Tokyo,2,2,No,LinkedIn,90,2025-02-05,2025-02-26,21
HT0158,Operations,Operations Analyst,Band_5,16,Beijing,2,1,No,Referral,90,2025-02-01,2025-02-25,24
HT0159,Technology,Backend Developer,Band_1,4,Osaka,4,1,No,LinkedIn,30,2025-05-11,2025-08-02,83
HT0120,Sales,Sales Manager,Band_1,4,Nagoya,3,3,No,LinkedIn,90,2024-10-08,2024-10-30,22
HT0161,Sales,Sales Manager,Band_1,3,Shanghai,2,3,No,Other,60,2026-01-23,2026-02-13,21
HT0162,HR,HR Analyst,Band_5,20,Osaka,3,3,No,Referral,90,2024-05-22,2024-06-10,19
HT0123,Sales,Sales Manager,Band_1,3,Chennai,5,3,No,Referral,90,2024-10-10,2024-10-30,20
HT0124,HR,Recruiter,Band_1,5,Osaka,1,3,No,Consultant,30,2025-10-10,2025-11-02,23
HT0165,Technology,ML Engineer,Band_2,5,Shanghai,1,1,Yes,LinkedIn,90,2024-08-11,2024-08-31,20
HT0166,Technology,Data Engineer,Band_2,3,Chennai,3,2,Yes,LinkedIn,60,2025-03-27,2025-04-17,21
HT0167,Sales,Account Executive,Band_2,1,Tokyo,5,1,Yes,Other,90,2025-10-02,2025-10-21,19
HT0168,Technology,Data Engineer,Band_6,13,Bangalore,3,2,No,Naukri,90,2024-12-17,2025-01-08,22
HT0129,Sales,Account Executive,Band_1,2,Shanghai,4,1,No,LinkedIn,30,2025-02-27,2025-04-18,50
HT0170,Sales,Account Executive,Band_5,13,Hyderabad,1,3,No,Referral,90,2026-01-17,2026-02-06,20
HT0171,Sales,Sales Manager,Band_3,20,Hyderabad,2,2,Yes,Other,90,2025-10-23,2025-11-09,17
HT0172,Operations,Operations Analyst,Band_2,2,Bangalore,5,2,Yes,Consultant,90,2024-03-15,2024-04-04,20
HT0173,Technology,ML Engineer,Band_5,17,Chennai,1,2,No,Consultant,90,2025-07-04,2025-07-24,20
HT0174,Technology,Data Engineer,Band_1,2,Shenzhen,1,1,No,Consultant,30,2025-03-20,2025-04-10,21
HT0175,Operations,Operations Analyst,Band_3,9,Shanghai,1,2,Yes,Consultant,60,2024-05-09,2024-05-29,20
HT0176,Technology,Backend Developer,Band_5,14,Nagoya,2,1,No,Consultant,90,2024-06-19,2024-07-10,21
HT0177,HR,HR Analyst,Band_2,3,Shenzhen,1,3,Yes,LinkedIn,60,2024-02-06,2024-02-27,21
HT0178,Sales,Account Executive,Band_2,1,Osaka,3,3,Yes,Other,60,2024-03-11,2024-03-30,19
HT0179,HR,Recruiter,Band_5,18,Beijing,4,3,No,Referral,90,2025-05-20,2025-06-07,18
HT0180,Sales,Account Executive,Band_2,1,Bangalore,1,3,Yes,LinkedIn,60,2025-05-18,2025-06-05,18
HT0181,HR,HR Analyst,Band_5,11,Shanghai,3,1,No,LinkedIn,90,2025-08-04,2025-08-24,20
HT0182,Sales,Account Executive,Band_2,2,Chennai,3,1,Yes,LinkedIn,60,2024-04-18,2024-05-10,22
HT0183,Operations,Operations Analyst,Band_2,2,Shenzhen,4,2,Yes,Other,60,2024-12-01,2024-12-19,18
HT0184,Technology,Backend Developer,Band_1,3,Hyderabad,1,1,No,Consultant,60,2024-05-23,2024-06-07,15
HT0185,Technology,Backend Developer,Band_1,4,Osaka,2,2,No,Naukri,60,2024-02-13,2024-03-04,20
HT0186,Operations,Supply Chain Lead,Band_2,4,Osaka,3,2,Yes,Naukri,90,2024-06-01,2024-06-24,23
HT0187,Sales,Account Executive,Band_6,12,Osaka,1,2,No,Other,90,2025-07-10,2025-08-02,23
HT0188,Technology,Backend Developer,Band_1,3,Bangalore,5,2,No,Referral,60,2025-04-28,2025-05-19,21
HT0189,Sales,Account Executive,Band_5,19,Osaka,3,1,No,Consultant,90,2024-11-21,2024-12-16,25
HT0190,Technology,Data Engineer,Band_2,7,Shenzhen,3,1,Yes,LinkedIn,60,2025-09-08,2025-09-25,17
HT0191,Sales,Account Executive,Band_5,11,Tokyo,4,3,No,Consultant,90,2025-01-08,2025-01-31,23
HT0192,Sales,Sales Manager,Band_2,5,Osaka,4,3,Yes,LinkedIn,60,2025-11-12,2025-12-06,24
HT0193,Operations,Operations Analyst,Band_6,12,Bangalore,3,2,No,LinkedIn,90,2025-08-02,2025-08-25,23
HT0194,Sales,Account Executive,Band_6,15,Hyderabad,4,2,No,Other,90,2024-03-10,2024-03-29,19
HT0195,Technology,Backend Developer,Band_5,11,Hyderabad,3,1,No,Consultant,90,2025-10-28,2025-11-15,18
HT0192,Technology,ML Engineer,Band_1,2,Shenzhen,3,1,No,Naukri,90,2024-12-12,2025-01-04,23
HT0197,Operations,Supply Chain Lead,Band_3,2,Beijing,3,3,Yes,Other,90,2024-08-31,2024-09-21,21
HT0198,Sales,Account Executive,Band_1,4,Shanghai,5,2,No,Naukri,30,2024-07-30,2024-08-12,13
HT0199,HR,Recruiter,Band_2,5,Hyderabad,1,1,Yes,Referral,90,2025-04-01,2025-04-21,20
HT0200,Sales,Account Executive,Band_2,3,Hyderabad,5,3,Yes,Other,60,2025-06-19,2025-07-15,26
HT0201,Technology,Backend Developer,Band_2,2,Chennai,3,3,Yes,LinkedIn,30,2024-06-20,2024-07-08,18
HT0202,HR,Recruiter,Band_5,17,Nagoya,2,3,No,Other,90,2024-11-29,2024-12-24,25
HT0203,Technology,ML Engineer,Band_1,3,Osaka,4,1,No,Other,90,2024-10-19,2024-11-11,23
HT0204,Technology,Backend Developer,Band_3,11,Beijing,1,1,Yes,Naukri,60,2025-12-08,2025-12-27,19
HT0205,HR,Recruiter,Band_3,14,Beijing,2,1,Yes,Referral,90,2026-01-16,2026-02-07,22
HT0206,Sales,Account Executive,Band_2,7,Hyderabad,4,3,Yes,LinkedIn,30,2024-07-16,2024-08-02,17
HT0207,Sales,Sales Manager,Band_2,6,Shanghai,4,1,Yes,Naukri,60,2025-08-31,2025-09-23,23
HT0208,Sales,Account Executive,Band_6,15,Hyderabad,5,2,No,Referral,90,2024-07-30,2024-08-24,25
HT0209,HR,Recruiter,Band_6,19,Osaka,3,3,Yes,Other,90,2024-09-15,2024-10-09,24
HT0210,Operations,Operations Analyst,Band_2,3,Shenzhen,1,3,Yes,Consultant,60,2024-03-06,2024-03-28,22
HT0211,Sales,Account Executive,Band_6,19,Tokyo,2,3,No,Other,90,2025-05-24,2025-06-15,22
HT0212,Operations,Supply Chain Lead,Band_2,9,Chennai,2,2,Yes,Naukri,60,2025-11-04,2025-11-25,21
HT0213,HR,Recruiter,Band_3,19,Chennai,1,3,Yes,Consultant,60,2024-09-23,2024-10-15,22
HT0214,HR,HR Analyst,Band_2,6,Hyderabad,2,2,Yes,LinkedIn,30,2024-05-20,2024-06-11,22
HT0215,HR,Recruiter,Band_2,2,Osaka,1,1,Yes,Other,60,2024-06-21,2024-07-10,19
HT0216,Operations,Operations Analyst,Band_3,8,Tokyo,4,3,Yes,Other,60,2025-06-27,2025-07-18,21
HT0217,Sales,Account Executive,Band_1,4,Osaka,2,1,No,Consultant,30,2024-11-01,2024-11-27,26
HT0218,Sales,Account Executive,Band_6,12,Hyderabad,5,1,No,Other,90,2024-05-14,2024-06-02,19
HT0219,Technology,ML Engineer,Band_1,4,Chennai,1,2,No,Consultant,30,2024-02-19,2024-03-11,21
HT0220,Operations,Operations Analyst,Band_2,7,Hyderabad,3,3,Yes,Consultant,60,2024-04-17,2024-05-08,21
HT0221,Sales,Account Executive,Band_5,13,Chennai,5,1,No,LinkedIn,90,2025-05-23,2025-06-10,18
HT0222,Sales,Sales Manager,Band_3,11,Shanghai,1,1,Yes,Naukri,60,2024-09-27,2024-10-12,15
HT0223,Operations,Supply Chain Lead,Band_5,13,Hyderabad,4,2,No,Naukri,90,2024-10-01,2024-10-20,19
HT0224,Sales,Account Executive,Band_2,3,Beijing,2,2,Yes,Consultant,30,2024-04-16,2024-05-13,27
HT0225,HR,Recruiter,Band_1,3,Nagoya,5,1,No,Consultant,60,2024-03-05,2024-03-29,24
HT0226,HR,Recruiter,Band_6,16,Bangalore,4,2,No,Naukri,90,2025-11-23,2025-12-18,25
HT0227,Operations,Operations Analyst,Band_5,19,Shanghai,3,1,No,Consultant,90,2024-08-16,2024-09-05,20
HT0228,Technology,Backend Developer,Band_2,3,Nagoya,1,1,Yes,Consultant,60,2024-02-06,2024-03-01,24
HT0229,HR,Recruiter,Band_6,10,Shanghai,4,1,No,Consultant,90,2025-04-08,2025-04-24,16
HT0230,Operations,Operations Analyst,Band_2,2,Beijing,4,3,Yes,Other,60,2024-05-03,2024-05-25,22
HT0231,HR,HR Analyst,Band_5,19,Tokyo,5,3,No,Referral,90,2026-01-23,2026-02-16,24
HT0232,HR,HR Analyst,Band_3,17,Shenzhen,5,3,Yes,Naukri,60,2025-02-11,2025-03-02,19
HT0233,Sales,Sales Manager,Band_6,11,Nagoya,5,3,No,Consultant,90,2024-12-19,2025-01-10,22
HT0234,HR,HR Analyst,Band_5,19,Bangalore,2,1,No,Referral,90,2024-04-19,2024-05-11,22
HT0235,Technology,Backend Developer,Band_2,8,Osaka,4,3,Yes,Referral,30,2024-04-14,2024-05-11,27
